Formula Pair,Error,Satisfiability,Validity
./seeds_BV_sat/bench_3347.smt2 & ./seeds_BV_sat/bench_446.smt2,,SAT,Valid
./seeds_BV_sat/bench_3248.smt2 & ./seeds_BV_sat/bench_4214.smt2,,SAT,Valid
./seeds_BV_sat/bench_5128.smt2 & ./seeds_BV_sat/bgpd_bgpd_vc75771.smt2,,SAT,Valid
./seeds_BV_sat/bench_2659.smt2 & ./seeds_BV_sat/bench_3295.smt2,,SAT,Valid
./seeds_BV_sat/bench_6890.smt2 & ./seeds_BV_sat/bench_7096.smt2,,SAT,Valid
./seeds_BV_sat/bench_7545.smt2 & ./seeds_BV_sat/bench_426.smt2,"Error in SMT formula: b'(error ""line 1 column 1: unexpected character"")\n(error ""line 1 column 2: unexpected character"")\n(error ""line 1 column 3: unexpected character"")\n'",,
./seeds_BV_sat/bench_3256.smt2 & ./seeds_BV_sat/bench_1007.smt2,,SAT,Valid
./seeds_BV_sat/bench_4646.smt2 & ./seeds_BV_sat/bench_1969.smt2,,SAT,Valid
./seeds_BV_sat/bench_7149.smt2 & ./seeds_BV_sat/bench_4281.smt2,,SAT,Valid
./seeds_BV_sat/bench_1941.smt2 & ./seeds_BV_sat/bench_722.smt2,,SAT,Valid
./seeds_BV_sat/bench_835.smt2 & ./seeds_BV_sat/bench_7501.smt2,,SAT,Valid
./seeds_BV_sat/bench_7532.smt2 & ./seeds_BV_sat/bench_4569.smt2,,SAT,Valid
./seeds_BV_sat/bench_1715.smt2 & ./seeds_BV_sat/bench_1720.smt2,,SAT,Valid
./seeds_BV_sat/bench_308.smt2 & ./seeds_BV_sat/bench_4531.smt2,,SAT,Valid
./seeds_BV_sat/bench_3547.smt2 & ./seeds_BV_sat/bench_7826.smt2,,SAT,Valid
./seeds_BV_sat/bench_5232.smt2 & ./seeds_BV_sat/bench_7748.smt2,,SAT,Valid
./seeds_BV_sat/bench_6813.smt2 & ./seeds_BV_sat/bench_5487.smt2,,SAT,Valid
./seeds_BV_sat/bench_3232.smt2 & ./seeds_BV_sat/bench_3329.smt2,,SAT,Valid
./seeds_BV_sat/bench_3345.smt2 & ./seeds_BV_sat/bench_809.smt2,,SAT,Valid
./seeds_BV_sat/bench_3936.smt2 & ./seeds_BV_sat/bench_609.smt2,,SAT,Valid
./seeds_BV_sat/bench_2589.smt2 & ./seeds_BV_sat/bench_7844.smt2,,SAT,Valid
./seeds_BV_sat/bench_2513.smt2 & ./seeds_BV_sat/bench_8170.smt2,,SAT,Valid
./seeds_BV_sat/bench_7541.smt2 & ./seeds_BV_sat/bench_7800.smt2,,SAT,Valid
./seeds_BV_sat/bench_8144.smt2 & ./seeds_BV_sat/bench_3426.smt2,,SAT,Valid
./seeds_BV_sat/bench_205.smt2 & ./seeds_BV_sat/bench_7755.smt2,"Error in SMT formula: b'(error ""line 1 column 1: unexpected character"")\n(error ""line 1 column 2: unexpected character"")\n(error ""line 1 column 3: unexpected character"")\n'",,
./seeds_BV_sat/bench_4668.smt2 & ./seeds_BV_sat/bench_4396.smt2,,SAT,Valid
./seeds_BV_sat/bench_300.smt2 & ./seeds_BV_sat/bench_2912.smt2,,SAT,Valid
./seeds_BV_sat/bench_4863.smt2 & ./seeds_BV_sat/bench_7156.smt2,"Error in SMT formula: b'(error ""line 1 column 1: unexpected character"")\n(error ""line 1 column 2: unexpected character"")\n(error ""line 1 column 3: unexpected character"")\n'",,
./seeds_BV_sat/bench_6988.smt2 & ./seeds_BV_sat/bench_44.smt2,,SAT,Valid
./seeds_BV_sat/bench_4845.smt2 & ./seeds_BV_sat/bench_1638.smt2,,SAT,Valid
./seeds_BV_sat/bench_6852.smt2 & ./seeds_BV_sat/bench_4125.smt2,,SAT,Valid
./seeds_BV_sat/bench_59.smt2 & ./seeds_BV_sat/bench_698.smt2,,SAT,Valid
./seeds_BV_sat/bench_5208.smt2 & ./seeds_BV_sat/bench_4649.smt2,,SAT,Valid
./seeds_BV_sat/bench_5151.smt2 & ./seeds_BV_sat/bench_3133.smt2,,SAT,Valid
./seeds_BV_sat/bench_1046.smt2 & ./seeds_BV_sat/bench_238.smt2,,SAT,Valid
./seeds_BV_sat/bench_4922.smt2 & ./seeds_BV_sat/bench_5426.smt2,,SAT,Valid
./seeds_BV_sat/bench_2579.smt2 & ./seeds_BV_sat/bench_2811.smt2,,SAT,Valid
./seeds_BV_sat/bench_5261.smt2 & ./seeds_BV_sat/bench_1129.smt2,,SAT,Valid
./seeds_BV_sat/bench_2849.smt2 & ./seeds_BV_sat/bench_5290.smt2,,SAT,Valid
./seeds_BV_sat/bench_3367.smt2 & ./seeds_BV_sat/bench_927.smt2,,SAT,Valid
./seeds_BV_sat/bench_4773.smt2 & ./seeds_BV_sat/bench_3460.smt2,,SAT,Valid
./seeds_BV_sat/bench_7492.smt2 & ./seeds_BV_sat/bench_1489.smt2,,SAT,Valid
./seeds_BV_sat/bench_2004.smt2 & ./seeds_BV_sat/bench_4359.smt2,,SAT,Valid
./seeds_BV_sat/bench_2211.smt2 & ./seeds_BV_sat/bench_6948.smt2,,SAT,Valid
./seeds_BV_sat/bench_3898.smt2 & ./seeds_BV_sat/bench_2122.smt2,,SAT,Valid
./seeds_BV_sat/bench_8263.smt2 & ./seeds_BV_sat/bench_3062.smt2,,SAT,Valid
./seeds_BV_sat/bench_64.smt2 & ./seeds_BV_sat/bench_2880.smt2,,SAT,Valid
./seeds_BV_sat/bench_5196.smt2 & ./seeds_BV_sat/bench_7916.smt2,,SAT,Valid
./seeds_BV_sat/bench_4347.smt2 & ./seeds_BV_sat/bench_424.smt2,,SAT,Valid
./seeds_BV_sat/bench_2603.smt2 & ./seeds_BV_sat/bench_394.smt2,,SAT,Valid
